cell_id,icp_type,query,lat,lng,zoom,priority
nsw-ulladulla-q7,foundation,resin injection underpinning,-35.359,150.473,13,P1
nsw-ulladulla-q8,foundation,subsidence repair,-35.359,150.473,13,P1
nsw-ulladulla-q9,adjacent,house raising,-35.359,150.473,13,P2
nsw-batemans-bay-q0,foundation,underpinning,-35.708,150.174,13,P1
nsw-batemans-bay-q1,foundation,restumping,-35.708,150.174,13,P1
nsw-batemans-bay-q2,foundation,reblocking,-35.708,150.174,13,P1
nsw-batemans-bay-q3,foundation,foundation repair,-35.708,150.174,13,P1
nsw-batemans-bay-q4,foundation,house levelling,-35.708,150.174,13,P1
nsw-batemans-bay-q5,foundation,house relevelling,-35.708,150.174,13,P1
nsw-batemans-bay-q6,foundation,slab lifting,-35.708,150.174,13,P1
nsw-batemans-bay-q7,foundation,resin injection underpinning,-35.708,150.174,13,P1
nsw-batemans-bay-q8,foundation,subsidence repair,-35.708,150.174,13,P1
nsw-batemans-bay-q9,adjacent,house raising,-35.708,150.174,13,P2
nsw-bega-q0,foundation,underpinning,-36.674,149.841,13,P1
nsw-bega-q1,foundation,restumping,-36.674,149.841,13,P1
nsw-bega-q2,foundation,reblocking,-36.674,149.841,13,P1
nsw-bega-q3,foundation,foundation repair,-36.674,149.841,13,P1
nsw-bega-q4,foundation,house levelling,-36.674,149.841,13,P1
nsw-bega-q5,foundation,house relevelling,-36.674,149.841,13,P1
nsw-bega-q6,foundation,slab lifting,-36.674,149.841,13,P1
nsw-bega-q7,foundation,resin injection underpinning,-36.674,149.841,13,P1
nsw-bega-q8,foundation,subsidence repair,-36.674,149.841,13,P1
nsw-bega-q9,adjacent,house raising,-36.674,149.841,13,P2
nsw-bowral-q0,foundation,underpinning,-34.479,150.418,13,P1
nsw-bowral-q1,foundation,restumping,-34.479,150.418,13,P1
nsw-bowral-q2,foundation,reblocking,-34.479,150.418,13,P1
nsw-bowral-q3,foundation,foundation repair,-34.479,150.418,13,P1
nsw-bowral-q4,foundation,house levelling,-34.479,150.418,13,P1
nsw-bowral-q5,foundation,house relevelling,-34.479,150.418,13,P1
nsw-bowral-q6,foundation,slab lifting,-34.479,150.418,13,P1
nsw-bowral-q7,foundation,resin injection underpinning,-34.479,150.418,13,P1
nsw-bowral-q8,foundation,subsidence repair,-34.479,150.418,13,P1
nsw-bowral-q9,adjacent,house raising,-34.479,150.418,13,P2
nsw-goulburn-q0,foundation,underpinning,-34.754,149.718,13,P1
nsw-goulburn-q1,foundation,restumping,-34.754,149.718,13,P1
nsw-goulburn-q2,foundation,reblocking,-34.754,149.718,13,P1
nsw-goulburn-q3,foundation,foundation repair,-34.754,149.718,13,P1
nsw-goulburn-q4,foundation,house levelling,-34.754,149.718,13,P1
nsw-goulburn-q5,foundation,house relevelling,-34.754,149.718,13,P1
nsw-goulburn-q6,foundation,slab lifting,-34.754,149.718,13,P1
nsw-goulburn-q7,foundation,resin injection underpinning,-34.754,149.718,13,P1
nsw-goulburn-q8,foundation,subsidence repair,-34.754,149.718,13,P1
nsw-goulburn-q9,adjacent,house raising,-34.754,149.718,13,P2
nsw-queanbeyan-q0,foundation,underpinning,-35.353,149.232,13,P1
nsw-queanbeyan-q1,foundation,restumping,-35.353,149.232,13,P1
