cell_id,icp_type,query,lat,lng,zoom,priority
tx-waco-q9,adjacent,structural repair,31.5493,-97.1467,13,P2
tx-killeen-temple-q0,foundation,foundation repair,31.1171,-97.7278,13,P1
tx-killeen-temple-q1,foundation,foundation contractor,31.1171,-97.7278,13,P1
tx-killeen-temple-q2,foundation,foundation repair company,31.1171,-97.7278,13,P1
tx-killeen-temple-q3,adjacent,basement waterproofing,31.1171,-97.7278,13,P2
tx-killeen-temple-q4,adjacent,crawl space repair,31.1171,-97.7278,13,P2
tx-killeen-temple-q5,adjacent,crawl space encapsulation,31.1171,-97.7278,13,P2
tx-killeen-temple-q6,adjacent,concrete leveling,31.1171,-97.7278,13,P2
tx-killeen-temple-q7,adjacent,mudjacking,31.1171,-97.7278,13,P2
tx-killeen-temple-q8,adjacent,house leveling,31.1171,-97.7278,13,P2
tx-killeen-temple-q9,adjacent,structural repair,31.1171,-97.7278,13,P2
tx-beaumont-q0,foundation,foundation repair,30.0802,-94.1266,13,P1
tx-beaumont-q1,foundation,foundation contractor,30.0802,-94.1266,13,P1
tx-beaumont-q2,foundation,foundation repair company,30.0802,-94.1266,13,P1
tx-beaumont-q3,adjacent,basement waterproofing,30.0802,-94.1266,13,P2
tx-beaumont-q4,adjacent,crawl space repair,30.0802,-94.1266,13,P2
tx-beaumont-q5,adjacent,crawl space encapsulation,30.0802,-94.1266,13,P2
tx-beaumont-q6,adjacent,concrete leveling,30.0802,-94.1266,13,P2
tx-beaumont-q7,adjacent,mudjacking,30.0802,-94.1266,13,P2
tx-beaumont-q8,adjacent,house leveling,30.0802,-94.1266,13,P2
tx-beaumont-q9,adjacent,structural repair,30.0802,-94.1266,13,P2
tx-midland-odessa-q0,foundation,foundation repair,31.9973,-102.0779,13,P1
tx-midland-odessa-q1,foundation,foundation contractor,31.9973,-102.0779,13,P1
tx-midland-odessa-q2,foundation,foundation repair company,31.9973,-102.0779,13,P1
tx-midland-odessa-q3,adjacent,basement waterproofing,31.9973,-102.0779,13,P2
tx-midland-odessa-q4,adjacent,crawl space repair,31.9973,-102.0779,13,P2
tx-midland-odessa-q5,adjacent,crawl space encapsulation,31.9973,-102.0779,13,P2
tx-midland-odessa-q6,adjacent,concrete leveling,31.9973,-102.0779,13,P2
tx-midland-odessa-q7,adjacent,mudjacking,31.9973,-102.0779,13,P2
tx-midland-odessa-q8,adjacent,house leveling,31.9973,-102.0779,13,P2
tx-midland-odessa-q9,adjacent,structural repair,31.9973,-102.0779,13,P2
tx-tyler-q0,foundation,foundation repair,32.3513,-95.3011,13,P1
tx-tyler-q1,foundation,foundation contractor,32.3513,-95.3011,13,P1
tx-tyler-q2,foundation,foundation repair company,32.3513,-95.3011,13,P1
