cell_id,icp_type,query,lat,lng,zoom,priority
ar-russellville-q0,generator,generator installation,35.2763,-93.1387,13,P1
ar-russellville-q1,generator,generator dealer,35.2763,-93.1387,13,P1
ar-russellville-q2,generator,standby generator installer,35.2763,-93.1387,13,P1
ar-russellville-q3,generator,Generac dealer,35.2763,-93.1387,13,P2
ar-russellville-q4,generator,generator shop,35.2763,-93.1387,13,P2
ar-searcy-q0,generator,generator installation,35.2411,-91.7352,13,P1
ar-searcy-q1,generator,generator dealer,35.2411,-91.7352,13,P1
ar-searcy-q2,generator,standby generator installer,35.2411,-91.7352,13,P1
ar-searcy-q3,generator,Generac dealer,35.2411,-91.7352,13,P2
ar-searcy-q4,generator,generator shop,35.2411,-91.7352,13,P2
ar-el-dorado-q0,generator,generator installation,33.219,-92.6641,13,P1
ar-el-dorado-q1,generator,generator dealer,33.219,-92.6641,13,P1
ar-el-dorado-q2,generator,standby generator installer,33.219,-92.6641,13,P1
ar-el-dorado-q3,generator,Generac dealer,33.219,-92.6641,13,P2
ar-el-dorado-q4,generator,generator shop,33.219,-92.6641,13,P2
ar-mountain-home-q0,generator,generator installation,36.3351,-92.3841,13,P1
ar-mountain-home-q1,generator,generator dealer,36.3351,-92.3841,13,P1
ar-mountain-home-q2,generator,standby generator installer,36.3351,-92.3841,13,P1
ar-mountain-home-q3,generator,Generac dealer,36.3351,-92.3841,13,P2
ar-mountain-home-q4,generator,generator shop,36.3351,-92.3841,13,P2
az-phoenix-q0,generator,generator installation,33.5722,-112.0901,13,P1
az-phoenix-q1,generator,generator dealer,33.5722,-112.0901,13,P1
az-phoenix-q2,generator,standby generator installer,33.5722,-112.0901,13,P1
az-phoenix-q3,generator,Generac dealer,33.5722,-112.0901,13,P2
az-phoenix-q4,generator,generator shop,33.5722,-112.0901,13,P2
az-tucson-q0,generator,generator installation,32.153,-110.8708,13,P1
az-tucson-q1,generator,generator dealer,32.153,-110.8708,13,P1
az-tucson-q2,generator,standby generator installer,32.153,-110.8708,13,P1
az-tucson-q3,generator,Generac dealer,32.153,-110.8708,13,P2
az-tucson-q4,generator,generator shop,32.153,-110.8708,13,P2
az-mesa-q0,generator,generator installation,33.4006,-111.7165,13,P1
az-mesa-q1,generator,generator dealer,33.4006,-111.7165,13,P1
az-mesa-q2,generator,standby generator installer,33.4006,-111.7165,13,P1
az-mesa-q3,generator,Generac dealer,33.4006,-111.7165,13,P2
az-mesa-q4,generator,generator shop,33.4006,-111.7165,13,P2
az-goodyear-q0,generator,generator installation,33.254,-112.3665,13,P1
